TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-08-25,0.11760859,0.10922178,-0.09451938,1.11466856,1.54488849,1.24428023,-0.06016950,-0.03636140,0.06545058,0.14980541,0.49903093,0.10914210,25.00000000,284.00000000,0.87895212
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-08-25,0.11748662,0.10921514,-0.09453686,1.11368910,1.54339323,1.24275994,-0.06018098,-0.03650140,0.06536238,0.14970996,0.49903093,0.10914210,25.00000000,284.00000000,0.87895212
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-08-25,0.11724270,0.10920195,-0.09457181,1.11172902,1.54040245,1.23972136,-0.06020394,-0.03678134,0.06518600,0.14951909,0.49903093,0.10914210,25.00000000,284.00000000,0.87895212
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-08-25,0.11549365,0.11084410,-0.09459709,1.08217731,1.49842087,1.22090068,-0.06060275,-0.03951872,0.06379374,0.14814018,0.47423704,0.10371947,25.00000000,284.00000000,0.88256549
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-08-25,0.11537796,0.11083598,-0.09459709,1.08127405,1.49704103,1.21967763,-0.06060275,-0.03961821,0.06371555,0.14803062,0.47423704,0.10371947,25.00000000,284.00000000,0.88256549
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-08-25,0.11514659,0.11081983,-0.09463066,1.07946644,1.49428109,1.21680011,-0.06060275,-0.03981718,0.06355918,0.14781152,0.47423704,0.10371947,25.00000000,284.00000000,0.88256549
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-08-25,0.11556033,0.11264956,-0.09713430,1.06718879,1.47549465,1.18969636,-0.05916238,-0.04389815,0.06278091,0.14862261,0.40082285,0.08766320,19.00000000,287.00000000,0.88346883
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-08-25,0.11546254,0.11264341,-0.09718236,1.06643052,1.47434697,1.18810182,-0.05917337,-0.04396882,0.06271426,0.14851997,0.40082285,0.08766320,19.00000000,287.00000000,0.88437218
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-08-25,0.11526697,0.11263119,-0.09727846,1.06491314,1.47205143,1.18491768,-0.05919535,-0.04411016,0.06258095,0.14831471,0.40082285,0.08766320,19.00000000,287.00000000,0.88437218
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-08-25,0.11643856,0.11010261,-0.09552528,1.09673236,1.51712239,1.21892923,-0.06063207,-0.03719648,0.06447664,0.14901710,0.50882500,0.11128414,26.00000000,284.00000000,0.87895212
