TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-01,0.11877680,0.10901570,-0.09451938,1.12620125,1.56123923,1.25663965,-0.06016950,-0.03636140,0.06545058,0.15116445,0.49903093,0.10868653,25.00000000,284.00000000,0.87949640
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-01,0.11865520,0.10900909,-0.09453686,1.12522514,1.55974696,1.25512111,-0.06018098,-0.03650140,0.06536238,0.15106565,0.49903093,0.10868653,25.00000000,284.00000000,0.87949640
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-01,0.11841205,0.10899594,-0.09457181,1.12327174,1.55676218,1.25208605,-0.06020394,-0.03678134,0.06518600,0.15086807,0.49903093,0.10868653,25.00000000,284.00000000,0.87949640
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-01,0.11683582,0.11063206,-0.09459709,1.09502037,1.51657989,1.23508892,-0.06060275,-0.03951872,0.06379374,0.14904665,0.47423704,0.10328654,25.00000000,284.00000000,0.88309353
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-01,0.11672047,0.11062397,-0.09459709,1.09412050,1.51520299,1.23386951,-0.06060275,-0.03961821,0.06371555,0.14896076,0.47423704,0.10328654,25.00000000,284.00000000,0.88309353
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-01,0.11648979,0.11060787,-0.09463066,1.09231965,1.51244895,1.23099422,-0.06060275,-0.03981718,0.06355918,0.14878899,0.47423704,0.10328654,25.00000000,284.00000000,0.88309353
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-01,0.11704713,0.11243351,-0.09713430,1.08102646,1.49502176,1.20500302,-0.05916238,-0.04389815,0.06278091,0.14941346,0.40082285,0.08729728,19.00000000,287.00000000,0.88399281
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-01,0.11694962,0.11242739,-0.09718236,1.08027098,1.49387646,1.20340377,-0.05917337,-0.04396882,0.06271426,0.14933473,0.40082285,0.08729728,19.00000000,287.00000000,0.88489209
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-01,0.11675460,0.11241520,-0.09727846,1.07875916,1.49158565,1.20021024,-0.05919535,-0.04411016,0.06258095,0.14917728,0.40082285,0.08729728,19.00000000,287.00000000,0.88489209
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-01,0.11773920,0.10989183,-0.09552528,1.10931599,1.53489595,1.23254492,-0.06063207,-0.03719648,0.06447664,0.15030609,0.50882500,0.11081963,26.00000000,284.00000000,0.87949640
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-01,0.11761533,0.10988413,-0.09552528,1.10833626,1.53340319,1.23124825,-0.06063207,-0.03732223,0.06438797,0.15020589,0.50882500,0.11081963,26.00000000,284.00000000,0.87949640
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-01,0.11736763,0.10986881,-0.09552528,1.10637560,1.53041733,1.22865523,-0.06063207,-0.03757370,0.06421064,0.15000552,0.50882500,0.11081963,26.00000000,284.00000000,0.88039568
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-01,0.11758950,0.11105628,-0.09533786,1.09758688,1.51959704,1.23339770,-0.05894630,-0.04083203,0.06429445,0.15031575,0.44287376,0.09645577,22.00000000,284.00000000,0.88039568
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-01,0.11748170,0.11104943,-0.09538834,1.09674361,1.51831471,1.23161491,-0.05895580,-0.04091136,0.06421997,0.15021869,0.44287376,0.09645577,22.00000000,284.00000000,0.88039568
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-01,0.11726613,0.11103580,-0.09548930,1.09505607,1.51574977,1.22805528,-0.05897478,-0.04107002,0.06407104,0.15002446,0.44287376,0.09645577,22.00000000,284.00000000,0.88039568
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-01,0.11900687,0.11329349,-0.09790808,1.08977935,1.51187269,1.21549598,-0.06018437,-0.04473280,0.06397744,0.15188249,0.40182945,0.08751651,24.00000000,287.00000000,0.88489209
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-01,0.11890894,0.11328592,-0.09795234,1.08904055,1.51073393,1.21394688,-0.06019361,-0.04480186,0.06391052,0.15180416,0.40182945,0.08751651,24.00000000,287.00000000,0.88489209
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-01,0.11871310,0.11327082,-0.09804088,1.08756215,1.50845628,1.21085312,-0.06021210,-0.04493998,0.06377669,0.15164752,0.40182945,0.08751651,24.00000000,287.00000000,0.88489209
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-01,0.11862459,0.11045383,-0.09491138,1.11169090,1.54043782,1.24984582,-0.05992892,-0.03930402,0.06477239,0.15059824,0.44612725,0.09716436,25.00000000,284.00000000,0.88129496
60/120/240,0.14000000,0.60000000,10,2022-01-28,2026-09-01,0.11851591,0.11044693,-0.09492126,1.11083767,1.53913232,1.24857074,-0.05993918,-0.03940991,0.06469199,0.15050652,0.44612725,0.09716436,25.00000000,284.00000000,0.88129496
60/120/240,0.14000000,0.60000000,20,2022-01-28,2026-09-01,0.11829855,0.11043321,-0.09494101,1.10913027,1.53652119,1.24602163,-0.05995969,-0.03962167,0.06453119,0.15032310,0.44612725,0.09716436,25.00000000,284.00000000,0.88309353
60/120/240,0.14000000,0.70000000,5,2022-01-28,2026-09-01,0.11867211,0.11125617,-0.09538118,1.10487170,1.53131157,1.24418790,-0.05969383,-0.04123316,0.06415428,0.15088601,0.43688077,0.09515052,23.00000000,284.00000000,0.88039568
60/120/240,0.14000000,0.70000000,10,2022-01-28,2026-09-01,0.11856567,0.11124815,-0.09543128,1.10405310,1.53005060,1.24241941,-0.05970327,-0.04131092,0.06407993,0.15078657,0.43688077,0.09515052,23.00000000,284.00000000,0.88039568
60/120/240,0.14000000,0.70000000,20,2022-01-28,2026-09-01,0.11835281,0.11123216,-0.09553146,1.10241492,1.52752851,1.23888830,-0.05972215,-0.04146641,0.06393125,0.15058770,0.43688077,0.09515052,23.00000000,286.00000000,0.88129496
60/120/240,0.14000000,0.80000000,5,2022-01-28,2026-09-01,0.11909933,0.11362014,-0.09929202,1.08772921,1.50989743,1.19948538,-0.06021861,-0.04510840,0.06366095,0.15226733,0.43810300,0.09541672,27.00000000,287.00000000,0.88579137
60/120/240,0.14000000,0.80000000,10,2022-01-28,2026-09-01,0.11899255,0.11361299,-0.09933736,1.08691631,1.50865835,1.19786305,-0.06022890,-0.04517595,0.06358789,0.15215965,0.43810300,0.09541672,27.00000000,287.00000000,0.88669065
60/120/240,0.14000000,0.80000000,20,2022-01-28,2026-09-01,0.11877902,0.11359875,-0.09942802,1.08528970,1.50618008,1.19462314,-0.06024948,-0.04531104,0.06344179,0.15194430,0.43810300,0.09541672,27.00000000,287.00000000,0.88758993
63/126/252,0.10000000,0.60000000,5,2022-01-28,2026-09-01,0.11701791,0.10845077,-0.09454981,1.11640360,1.54354263,1.23763243,-0.05937384,-0.03720871,0.06457700,0.14841594,0.48356812,0.10531880,23.00000000,284.00000000,0.87769784
63/126/252,0.10000000,0.60000000,10,2022-01-28,2026-09-01,0.11690027,0.10844367,-0.09454981,1.11545860,1.54210735,1.23638820,-0.05937384,-0.03735824,0.06448743,0.14831875,0.48356812,0.10531880,23.00000000,284.00000000,0.87769784
63/126/252,0.10000000,0.60000000,20,2022-01-28,2026-09-01,0.11666501,0.10842957,-0.09454981,1.11356744,1.53923654,1.23390004,-0.05937384,-0.03765724,0.06430830,0.14812439,0.48356812,0.10531880,23.00000000,284.00000000,0.87769784
63/126/252,0.10000000,0.70000000,5,2022-01-28,2026-09-01,0.11702232,0.11063238,-0.09578341,1.09659262,1.51670309,1.22173891,-0.06046634,-0.04045274,0.06328259,0.14912882,0.43197644,0.09408238,21.00000000,286.00000000,0.88129496
63/126/252,0.10000000,0.70000000,10,2022-01-28,2026-09-01,0.11691723,0.11062466,-0.09578341,1.09577620,1.51544983,1.22064173,-0.06046634,-0.04057312,0.06320376,0.14903927,0.43197644,0.09408238,21.00000000,286.00000000,0.88129496
63/126/252,0.10000000,0.70000000,20,2022-01-28,2026-09-01,0.11670707,0.11060929,-0.09578341,1.09414236,1.51294315,1.21844761,-0.06046634,-0.04081384,0.06304611,0.14886020,0.43197644,0.09408238,21.00000000,286.00000000,0.88129496
63/126/252,0.10000000,0.80000000,5,2022-01-28,2026-09-01,0.11888141,0.11285977,-0.09802677,1.09249574,1.51439741,1.21274434,-0.06056955,-0.04554796,0.06414661,0.15200944,0.36939625,0.08045272,18.00000000,287.00000000,0.88579137
