TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-02,0.11519484,0.10919428,-0.09451938,1.09365267,1.51360574,1.21874312,-0.06016950,-0.03636140,0.06545058,0.15109436,0.49903093,0.10862176,25.00000000,284.00000000,0.87960467
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-02,0.11507371,0.10918767,-0.09453686,1.09267709,1.51212122,1.21723648,-0.06018098,-0.03650140,0.06536238,0.15099233,0.49903093,0.10862176,25.00000000,284.00000000,0.87960467
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-02,0.11483147,0.10917453,-0.09457181,1.09072479,1.50915193,1.21422517,-0.06020394,-0.03678134,0.06518600,0.15078828,0.49903093,0.10862176,25.00000000,284.00000000,0.87960467
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-02,0.11326554,0.11080587,-0.09459709,1.06309159,1.47000364,1.19734692,-0.06060275,-0.03951872,0.06379374,0.14899763,0.47423704,0.10322498,25.00000000,284.00000000,0.88319856
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-02,0.11315062,0.11079779,-0.09459709,1.06219162,1.46863300,1.19613214,-0.06060275,-0.03961821,0.06371555,0.14891174,0.47423704,0.10322498,25.00000000,284.00000000,0.88319856
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-02,0.11292082,0.11078170,-0.09463066,1.06039057,1.46589149,1.19327948,-0.06060275,-0.03981718,0.06355918,0.14873998,0.47423704,0.10322498,25.00000000,284.00000000,0.88319856
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-02,0.11344304,0.11260699,-0.09713430,1.04936007,1.44895154,1.16789883,-0.05916238,-0.04389815,0.06278091,0.14934264,0.40082285,0.08724526,19.00000000,287.00000000,0.88409704
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-02,0.11334590,0.11260087,-0.09718236,1.04860471,1.44781147,1.16632176,-0.05917337,-0.04396882,0.06271426,0.14926391,0.40082285,0.08724526,19.00000000,287.00000000,0.88499551
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-02,0.11315163,0.11258869,-0.09727846,1.04709319,1.44553113,1.16317252,-0.05919535,-0.04411016,0.06258095,0.14910647,0.40082285,0.08724526,19.00000000,287.00000000,0.88499551
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-02,0.11417539,0.11006634,-0.09552528,1.07721956,1.48809512,1.19523743,-0.06063207,-0.03719648,0.06447664,0.15030121,0.50882500,0.11075358,26.00000000,284.00000000,0.87960467
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-02,0.11405199,0.11005865,-0.09552528,1.07624004,1.48660945,1.19394566,-0.06063207,-0.03732223,0.06438797,0.15020090,0.50882500,0.11075358,26.00000000,284.00000000,0.87960467
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-02,0.11380523,0.11004334,-0.09552528,1.07427981,1.48363779,1.19136245,-0.06063207,-0.03757370,0.06421064,0.15000030,0.50882500,0.11075358,26.00000000,284.00000000,0.88050314
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-02,0.11401172,0.11122970,-0.09533786,1.06573513,1.47315447,1.19587035,-0.05894630,-0.04083203,0.06429445,0.15025688,0.44287376,0.09639828,22.00000000,284.00000000,0.88050314
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-02,0.11390434,0.11122286,-0.09538834,1.06489199,1.47187804,1.19411171,-0.05895580,-0.04091136,0.06421997,0.15016803,0.44287376,0.09639828,22.00000000,284.00000000,0.88050314
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-02,0.11368958,0.11120924,-0.09548930,1.06320473,1.46932490,1.19060030,-0.05897478,-0.04107002,0.06407104,0.14999036,0.44287376,0.09639828,22.00000000,284.00000000,0.88050314
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-02,0.11536611,0.11346866,-0.09790808,1.05807225,1.46554802,1.17831047,-0.06018437,-0.04473280,0.06397744,0.15189928,0.40182945,0.08746436,24.00000000,287.00000000,0.88499551
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-02,0.11526856,0.11346109,-0.09795234,1.05733313,1.46441428,1.17678202,-0.06019361,-0.04480186,0.06391052,0.15179643,0.40182945,0.08746436,24.00000000,287.00000000,0.88499551
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-02,0.11507347,0.11344600,-0.09804088,1.05585411,1.46214666,1.17372951,-0.06021210,-0.04493998,0.06377669,0.15159075,0.40182945,0.08746436,24.00000000,287.00000000,0.88499551
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-02,0.11501973,0.11063170,-0.09491138,1.07940038,1.49325106,1.21186446,-0.05992892,-0.03930402,0.06477239,0.15052659,0.44612725,0.09710646,25.00000000,284.00000000,0.88140162
60/120/240,0.14000000,0.60000000,10,2022-01-28,2026-09-02,0.11491146,0.11062481,-0.09492126,1.07854729,1.49195188,1.21059771,-0.05993918,-0.03940991,0.06469199,0.15043613,0.44612725,0.09710646,25.00000000,284.00000000,0.88140162
60/120/240,0.14000000,0.60000000,20,2022-01-28,2026-09-02,0.11469493,0.11061110,-0.09494101,1.07684019,1.48935337,1.20806524,-0.05995969,-0.03962167,0.06453119,0.15025522,0.44612725,0.09710646,25.00000000,284.00000000,0.88319856
60/120/240,0.14000000,0.70000000,5,2022-01-28,2026-09-02,0.11505197,0.11143392,-0.09538118,1.07270005,1.48430625,1.20623337,-0.05969383,-0.04123316,0.06415428,0.15089091,0.43688077,0.09509382,23.00000000,284.00000000,0.88050314
60/120/240,0.14000000,0.70000000,10,2022-01-28,2026-09-02,0.11494593,0.11142591,-0.09543128,1.07188117,1.48305100,1.20448909,-0.05970327,-0.04131092,0.06407993,0.15080268,0.43688077,0.09509382,23.00000000,284.00000000,0.88050314
60/120/240,0.14000000,0.70000000,20,2022-01-28,2026-09-02,0.11473389,0.11140994,-0.09553146,1.07024244,1.48054038,1.20100628,-0.05972215,-0.04146641,0.06393125,0.15062624,0.43688077,0.09509382,23.00000000,286.00000000,0.88140162
