TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-03,0.11589145,0.10915200,-0.09451938,1.09967159,1.52204666,1.22611309,-0.06016950,-0.03636140,0.06545058,0.15116445,0.49903093,0.10855706,25.00000000,284.00000000,0.87971275
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-03,0.11577031,0.10914539,-0.09453686,1.09869687,1.52056253,1.22460504,-0.06018098,-0.03650140,0.06536238,0.15106565,0.49903093,0.10855706,25.00000000,284.00000000,0.87971275
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-03,0.11552807,0.10913226,-0.09457181,1.09674629,1.51759402,1.22159094,-0.06020394,-0.03678134,0.06518600,0.15086807,0.49903093,0.10855706,25.00000000,284.00000000,0.87971275
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-03,0.11391631,0.11076187,-0.09459709,1.06865408,1.47778615,1.20422636,-0.06060275,-0.03951872,0.06379374,0.14904665,0.47423704,0.10316350,25.00000000,284.00000000,0.88330341
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-03,0.11380140,0.11075380,-0.09459709,1.06775496,1.47641601,1.20301159,-0.06060275,-0.03961821,0.06371555,0.14896076,0.47423704,0.10316350,25.00000000,284.00000000,0.88330341
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-03,0.11357160,0.11073772,-0.09463066,1.06595565,1.47367548,1.20015651,-0.06060275,-0.03981718,0.06355918,0.14878899,0.47423704,0.10316350,25.00000000,284.00000000,0.88330341
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-03,0.11406374,0.11256152,-0.09713430,1.05458897,1.45625002,1.17428890,-0.05916238,-0.04389815,0.06278091,0.14941346,0.40082285,0.08719329,19.00000000,287.00000000,0.88420108
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-03,0.11396660,0.11255541,-0.09718236,1.05383429,1.45511034,1.17270871,-0.05917337,-0.04396882,0.06271426,0.14933473,0.40082285,0.08719329,19.00000000,287.00000000,0.88509874
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-03,0.11377234,0.11254324,-0.09727846,1.05232409,1.45283081,1.16955324,-0.05919535,-0.04411016,0.06258095,0.14917728,0.40082285,0.08719329,19.00000000,287.00000000,0.88509874
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-03,0.11483531,0.11002289,-0.09552528,1.08289130,1.49602596,1.20214572,-0.06063207,-0.03719648,0.06447664,0.15030609,0.50882500,0.11068762,26.00000000,284.00000000,0.87971275
