TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-03,0.11591320,0.10915250,-0.09451938,1.09985277,1.52230450,1.22634320,-0.06016950,-0.03636140,0.06545058,0.15116445,0.49903093,0.10855706,25.00000000,284.00000000,0.87971275
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-03,0.11579206,0.10914590,-0.09453686,1.09887806,1.52082036,1.22483509,-0.06018098,-0.03650140,0.06536238,0.15106565,0.49903093,0.10855706,25.00000000,284.00000000,0.87971275
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-03,0.11554981,0.10913277,-0.09457181,1.09692751,1.51785184,1.22182085,-0.06020394,-0.03678134,0.06518600,0.15086807,0.49903093,0.10855706,25.00000000,284.00000000,0.87971275
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-03,0.11393804,0.11076234,-0.09459709,1.06883324,1.47804013,1.20445603,-0.06060275,-0.03951872,0.06379374,0.14904665,0.47423704,0.10316350,25.00000000,284.00000000,0.88330341
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-03,0.11382312,0.11075427,-0.09459709,1.06793414,1.47666999,1.20324123,-0.06060275,-0.03961821,0.06371555,0.14896076,0.47423704,0.10316350,25.00000000,284.00000000,0.88330341
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-03,0.11359332,0.11073819,-0.09463066,1.06613486,1.47392945,1.20038603,-0.06060275,-0.03981718,0.06355918,0.14878899,0.47423704,0.10316350,25.00000000,284.00000000,0.88330341
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-03,0.11408569,0.11256196,-0.09713430,1.05476742,1.45650215,1.17451493,-0.05916238,-0.04389815,0.06278091,0.14941346,0.40082285,0.08719329,19.00000000,287.00000000,0.88420108
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-03,0.11398855,0.11255585,-0.09718236,1.05401275,1.45536247,1.17293461,-0.05917337,-0.04396882,0.06271426,0.14933473,0.40082285,0.08719329,19.00000000,287.00000000,0.88509874
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-03,0.11379429,0.11254368,-0.09727846,1.05250257,1.45308293,1.16977888,-0.05919535,-0.04411016,0.06258095,0.14917728,0.40082285,0.08719329,19.00000000,287.00000000,0.88509874
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-03,0.11485810,0.11002339,-0.09552528,1.08308017,1.49629368,1.20238428,-0.06063207,-0.03719648,0.06447664,0.15030609,0.50882500,0.11068762,26.00000000,284.00000000,0.87971275
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-03,0.11473470,0.11001570,-0.09552528,1.08210155,1.49480850,1.20109249,-0.06063207,-0.03732223,0.06438797,0.15020589,0.50882500,0.11068762,26.00000000,284.00000000,0.87971275
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-03,0.11448793,0.11000041,-0.09552528,1.08014315,1.49183779,1.19850923,-0.06063207,-0.03757370,0.06421064,0.15000552,0.50882500,0.11068762,26.00000000,284.00000000,0.88061041
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-03,0.11466890,0.11118564,-0.09533786,1.07132606,1.48097461,1.20276343,-0.05894630,-0.04083203,0.06429445,0.15031575,0.44287376,0.09634087,22.00000000,284.00000000,0.88061041
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-03,0.11456151,0.11117880,-0.09538834,1.07048369,1.47969862,1.20100115,-0.05895580,-0.04091136,0.06421997,0.15021869,0.44287376,0.09634087,22.00000000,284.00000000,0.88061041
