TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-04,0.11695239,0.10912132,-0.09451938,1.10869205,1.53478888,1.23733775,-0.06016950,-0.03636140,0.06545058,0.15109436,0.49903093,0.10849244,25.00000000,284.00000000,0.87982063
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-04,0.11683122,0.10911472,-0.09453686,1.10771846,1.53330503,1.23582717,-0.06018098,-0.03650140,0.06536238,0.15099233,0.49903093,0.10849244,25.00000000,284.00000000,0.87982063
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-04,0.11658889,0.10910161,-0.09457181,1.10577012,1.53033709,1.23280801,-0.06020394,-0.03678134,0.06518600,0.15078828,0.49903093,0.10849244,25.00000000,284.00000000,0.87982063
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-04,0.11502560,0.11073205,-0.09459709,1.07795487,1.49091509,1.21595284,-0.06060275,-0.03951872,0.06379374,0.14899763,0.47423704,0.10310210,25.00000000,284.00000000,0.88340807
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-04,0.11491064,0.11072399,-0.09459709,1.07705698,1.48954539,1.21473758,-0.06060275,-0.03961821,0.06371555,0.14891174,0.47423704,0.10310210,25.00000000,284.00000000,0.88340807
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-04,0.11468075,0.11070793,-0.09463066,1.07526011,1.48680572,1.21187738,-0.06060275,-0.03981718,0.06355918,0.14873998,0.47423704,0.10310210,25.00000000,284.00000000,0.88340807
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-04,0.11520220,0.11253164,-0.09713430,1.06397749,1.46948348,1.18600945,-0.05916238,-0.04389815,0.06278091,0.14934264,0.40082285,0.08714139,19.00000000,287.00000000,0.88430493
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-04,0.11510502,0.11252554,-0.09718236,1.06322377,1.46834414,1.18442304,-0.05917337,-0.04396882,0.06271426,0.14926391,0.40082285,0.08714139,19.00000000,287.00000000,0.88520179
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-04,0.11491068,0.11251339,-0.09727846,1.06171551,1.46606527,1.18125515,-0.05919535,-0.04411016,0.06258095,0.14910647,0.40082285,0.08714139,19.00000000,287.00000000,0.88520179
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-04,0.11595324,0.10999382,-0.09552528,1.09231508,1.50932323,1.21384872,-0.06063207,-0.03719648,0.06447664,0.15030121,0.50882500,0.11062174,26.00000000,284.00000000,0.87982063
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-04,0.11582979,0.10998614,-0.09552528,1.09133770,1.50783844,1.21255642,-0.06063207,-0.03732223,0.06438797,0.15020090,0.50882500,0.11062174,26.00000000,284.00000000,0.87982063
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-04,0.11558293,0.10997086,-0.09552528,1.08938177,1.50486854,1.20997217,-0.06063207,-0.03757370,0.06421064,0.15000030,0.50882500,0.11062174,26.00000000,284.00000000,0.88071749
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-04,0.11576776,0.11115549,-0.09533786,1.08049916,1.49392038,1.21428939,-0.05894630,-0.04083203,0.06429445,0.15025688,0.44287376,0.09628352,22.00000000,284.00000000,0.88071749
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-04,0.11566033,0.11114866,-0.09538834,1.07965787,1.49264477,1.21252057,-0.05895580,-0.04091136,0.06421997,0.15016803,0.44287376,0.09628352,22.00000000,284.00000000,0.88071749
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-04,0.11544549,0.11113507,-0.09548930,1.07797429,1.49009328,1.20898883,-0.05897478,-0.04107002,0.06407104,0.14999036,0.44287376,0.09628352,22.00000000,284.00000000,0.88071749
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-04,0.11708399,0.11339077,-0.09790808,1.07223191,1.48548706,1.19585629,-0.06018437,-0.04473280,0.06397744,0.15190615,0.40182945,0.08736023,24.00000000,287.00000000,0.88520179
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-04,0.11698640,0.11338322,-0.09795234,1.07149455,1.48435415,1.19431956,-0.06019361,-0.04480186,0.06391052,0.15180330,0.40182945,0.08736023,24.00000000,287.00000000,0.88520179
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-04,0.11679125,0.11336816,-0.09804088,1.07001906,1.48208819,1.19125052,-0.06021210,-0.04493998,0.06377669,0.15159763,0.40182945,0.08736023,24.00000000,287.00000000,0.88520179
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-04,0.11675994,0.11055714,-0.09491138,1.09410523,1.51394722,1.23019959,-0.05992892,-0.03930402,0.06477239,0.15052659,0.44612725,0.09699085,25.00000000,284.00000000,0.88161435
60/120/240,0.14000000,0.60000000,10,2022-01-28,2026-09-04,0.11665163,0.11055027,-0.09492126,1.09325401,1.51264880,1.22893051,-0.05993918,-0.03940991,0.06469199,0.15043613,0.44612725,0.09699085,25.00000000,284.00000000,0.88161435
60/120/240,0.14000000,0.60000000,20,2022-01-28,2026-09-04,0.11643503,0.11053658,-0.09494101,1.09155062,1.51005182,1.22639339,-0.05995969,-0.03962167,0.06453119,0.15025522,0.44612725,0.09699085,25.00000000,284.00000000,0.88340807
60/120/240,0.14000000,0.70000000,5,2022-01-28,2026-09-04,0.11677041,0.11135821,-0.09538118,1.08712149,1.50460300,1.22425000,-0.05969383,-0.04123316,0.06415428,0.15122038,0.43688077,0.09498061,23.00000000,284.00000000,0.88071749
60/120/240,0.14000000,0.70000000,10,2022-01-28,2026-09-04,0.11666434,0.11135021,-0.09543128,1.08630456,1.50334864,1.22249587,-0.05970327,-0.04131092,0.06407993,0.15110969,0.43688077,0.09498061,23.00000000,284.00000000,0.88071749
