TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-17,0.11300735,0.10882784,-0.09451938,1.07723360,1.49087274,1.19559978,-0.06016950,-0.03636140,0.06545058,0.15070546,0.49903093,0.10765937,25.00000000,284.00000000,0.88078292
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-17,0.11288752,0.10882127,-0.09453686,1.07626363,1.48939830,1.19411126,-0.06018098,-0.03650140,0.06536238,0.15060346,0.49903093,0.10765937,25.00000000,284.00000000,0.88078292
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-17,0.11264791,0.10880819,-0.09457181,1.07432258,1.48644918,1.19113617,-0.06020394,-0.03678134,0.06518600,0.15039948,0.49903093,0.10765937,25.00000000,284.00000000,0.88078292
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-17,0.11111565,0.11042646,-0.09459709,1.04721727,1.44803845,1.17462010,-0.06060275,-0.03951872,0.06379374,0.14888243,0.47423704,0.10231041,25.00000000,284.00000000,0.88434164
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-17,0.11100197,0.11041842,-0.09459709,1.04632223,1.44667680,1.17341840,-0.06060275,-0.03961821,0.06371555,0.14878468,0.47423704,0.10231041,25.00000000,284.00000000,0.88434164
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-17,0.11077464,0.11040242,-0.09463066,1.04453107,1.44395326,1.17059995,-0.06060275,-0.03981718,0.06355918,0.14858919,0.47423704,0.10231041,25.00000000,284.00000000,0.88434164
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-17,0.11125248,0.11221825,-0.09713430,1.03342695,1.42692344,1.14534699,-0.05916238,-0.04389815,0.06278091,0.14930299,0.40082285,0.08647226,19.00000000,287.00000000,0.88523132
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-17,0.11115639,0.11221216,-0.09718236,1.03267580,1.42579085,1.14379188,-0.05917337,-0.04396882,0.06271426,0.14921228,0.40082285,0.08647226,19.00000000,287.00000000,0.88612100
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-17,0.11096422,0.11220005,-0.09727846,1.03117268,1.42352549,1.14068648,-0.05919535,-0.04411016,0.06258095,0.14903088,0.40082285,0.08647226,19.00000000,287.00000000,0.88612100
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-17,0.11201988,0.10969075,-0.09552528,1.06121631,1.46597309,1.17267258,-0.06063207,-0.03719648,0.06447664,0.14987282,0.50882500,0.10977231,26.00000000,284.00000000,0.88078292
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-17,0.11189781,0.10968309,-0.09552528,1.06024228,1.46449726,1.17139473,-0.06063207,-0.03732223,0.06438797,0.14977255,0.50882500,0.10977231,26.00000000,284.00000000,0.88078292
