TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-17,0.11302664,0.10882417,-0.09451698,1.07743186,1.49114959,1.19583419,-0.06016780,-0.03634862,0.06547792,0.15072360,0.49899278,0.10765113,25.00000000,284.00000000,0.88078292
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-17,0.11290682,0.10881759,-0.09453445,1.07646195,1.48967521,1.19434584,-0.06017926,-0.03648861,0.06538972,0.15062161,0.49899278,0.10765113,25.00000000,284.00000000,0.88078292
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-17,0.11266722,0.10880452,-0.09456937,1.07452100,1.48672620,1.19137112,-0.06020219,-0.03676855,0.06521334,0.15041766,0.49899278,0.10765113,25.00000000,284.00000000,0.88078292
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-17,0.11113451,0.11042265,-0.09459253,1.04740939,1.44830889,1.17487619,-0.06059998,-0.03950694,0.06381939,0.14890184,0.47417454,0.10229692,25.00000000,284.00000000,0.88434164
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-17,0.11102084,0.11041461,-0.09459253,1.04651445,1.44694737,1.17367458,-0.06059998,-0.03960644,0.06374120,0.14880410,0.47417454,0.10229692,25.00000000,284.00000000,0.88434164
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-17,0.11079354,0.11039861,-0.09462232,1.04472350,1.44422408,1.17090275,-0.06059998,-0.03980541,0.06358484,0.14860865,0.47417454,0.10229692,25.00000000,284.00000000,0.88434164
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-17,0.11126878,0.11221405,-0.09712677,1.03359726,1.42716204,1.14560366,-0.05916072,-0.04388728,0.06280636,0.14931966,0.40075215,0.08645701,19.00000000,287.00000000,0.88523132
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-17,0.11117271,0.11220797,-0.09717481,1.03284622,1.42602960,1.14404861,-0.05917169,-0.04395795,0.06273972,0.14922897,0.40075215,0.08645701,19.00000000,287.00000000,0.88612100
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-17,0.11098057,0.11219586,-0.09727089,1.03134333,1.42376455,1.14094333,-0.05919362,-0.04409929,0.06260643,0.14904760,0.40075215,0.08645701,19.00000000,287.00000000,0.88612100
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-17,0.11204041,0.10968762,-0.09552254,1.06141844,1.46625658,1.17292122,-0.06063080,-0.03718418,0.06450366,0.14989323,0.50879116,0.10976501,26.00000000,284.00000000,0.88078292
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-17,0.11191835,0.10967997,-0.09552254,1.06044445,1.46478080,1.17164340,-0.06063080,-0.03730994,0.06441499,0.14979297,0.50879116,0.10976501,26.00000000,284.00000000,0.88078292
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-17,0.11167426,0.10966474,-0.09552254,1.05849533,1.46182893,1.16908807,-0.06063080,-0.03756141,0.06423766,0.14959247,0.50879116,0.10976501,26.00000000,284.00000000,0.88167260
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-17,0.11184964,0.11084338,-0.09532923,1.04989099,1.45122855,1.17329848,-0.05894344,-0.04082025,0.06432076,0.15001137,0.44282005,0.09553261,22.00000000,284.00000000,0.88167260
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-17,0.11174342,0.11083657,-0.09537969,1.04905262,1.44996061,1.17156413,-0.05895291,-0.04089958,0.06424629,0.14991429,0.44282005,0.09553261,22.00000000,284.00000000,0.88167260
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-17,0.11153101,0.11082303,-0.09548061,1.04737491,1.44742447,1.16810120,-0.05897184,-0.04105824,0.06409736,0.14972013,0.44282005,0.09553261,22.00000000,284.00000000,0.88167260
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-17,0.11313023,0.11307494,-0.09790019,1.04197028,1.44320981,1.15556692,-0.06018381,-0.04472191,0.06400092,0.15184379,0.40176903,0.08667639,24.00000000,287.00000000,0.88612100
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-17,0.11303375,0.11306741,-0.09794445,1.04123519,1.44208360,1.15405968,-0.06019304,-0.04479098,0.06393400,0.15175322,0.40176903,0.08667639,24.00000000,287.00000000,0.88612100
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-17,0.11284080,0.11305241,-0.09803297,1.03976426,1.43983104,1.15104951,-0.06021151,-0.04492910,0.06380017,0.15157210,0.40176903,0.08667639,24.00000000,287.00000000,0.88612100
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-17,0.11281453,0.11025365,-0.09490998,1.06309190,1.47066405,1.18864763,-0.05992788,-0.03929223,0.06479934,0.15034102,0.44608625,0.09623725,25.00000000,284.00000000,0.88256228
60/120/240,0.14000000,0.60000000,10,2022-01-28,2026-09-17,0.11270743,0.11024680,-0.09491985,1.06224363,1.46937361,1.18739589,-0.05993813,-0.03939812,0.06471893,0.15024934,0.44608625,0.09623725,25.00000000,284.00000000,0.88256228
60/120/240,0.14000000,0.60000000,20,2022-01-28,2026-09-17,0.11249327,0.11023316,-0.09493957,1.06054618,1.46679261,1.18489345,-0.05995861,-0.03960989,0.06455814,0.15006598,0.44608625,0.09623725,25.00000000,284.00000000,0.88434164
60/120/240,0.14000000,0.70000000,5,2022-01-28,2026-09-17,0.11282117,0.11105054,-0.09537337,1.05631424,1.46159793,1.18294207,-0.05969426,-0.04122137,0.06418129,0.15107768,0.43685533,0.09424580,23.00000000,284.00000000,0.88167260
60/120/240,0.14000000,0.70000000,10,2022-01-28,2026-09-17,0.11271629,0.11104256,-0.09542345,1.05549979,1.46035096,1.18122213,-0.05970367,-0.04129913,0.06410694,0.15096702,0.43685533,0.09424580,23.00000000,284.00000000,0.88167260
60/120/240,0.14000000,0.70000000,20,2022-01-28,2026-09-17,0.11250656,0.11102668,-0.09552361,1.05386993,1.45785690,1.17778793,-0.05972250,-0.04145463,0.06395827,0.15074571,0.43685533,0.09424580,23.00000000,286.00000000,0.88256228
60/120/240,0.14000000,0.80000000,5,2022-01-28,2026-09-17,0.11330126,0.11339097,-0.09928603,1.04079017,1.44245726,1.14116006,-0.06021849,-0.04509751,0.06368479,0.15228057,0.43806862,0.09450755,27.00000000,287.00000000,0.88701068
60/120/240,0.14000000,0.80000000,10,2022-01-28,2026-09-17,0.11319604,0.11338387,-0.09933137,1.03998176,1.44123166,1.13957996,-0.06022876,-0.04516506,0.06361173,0.15217290,0.43806862,0.09450755,27.00000000,287.00000000,0.88701068
60/120/240,0.14000000,0.80000000,20,2022-01-28,2026-09-17,0.11298564,0.11336971,-0.09942205,1.03836417,1.43878036,1.13642435,-0.06024930,-0.04530015,0.06346562,0.15195758,0.43806862,0.09450755,27.00000000,287.00000000,0.88879004
63/126/252,0.10000000,0.60000000,5,2022-01-28,2026-09-17,0.11142652,0.10826083,-0.09454633,1.06866208,1.47515289,1.17853879,-0.05937234,-0.03719599,0.06460452,0.14789806,0.48350726,0.10431034,23.00000000,284.00000000,0.87900356
63/126/252,0.10000000,0.60000000,10,2022-01-28,2026-09-17,0.11131059,0.10825378,-0.09454633,1.06772289,1.47373413,1.17731260,-0.05937234,-0.03734552,0.06451495,0.14780573,0.48350726,0.10431034,23.00000000,284.00000000,0.87900356
63/126/252,0.10000000,0.60000000,20,2022-01-28,2026-09-17,0.11107875,0.10823976,-0.09454633,1.06584338,1.47089639,1.17486051,-0.05937234,-0.03764452,0.06433582,0.14762108,0.48350726,0.10431034,23.00000000,284.00000000,0.87900356
63/126/252,0.10000000,0.70000000,5,2022-01-28,2026-09-17,0.11123149,0.11043540,-0.09577934,1.04812688,1.44730116,1.16133068,-0.06046426,-0.04044087,0.06330866,0.14882225,0.43193068,0.09318337,21.00000000,286.00000000,0.88256228
63/126/252,0.10000000,0.70000000,10,2022-01-28,2026-09-17,0.11112794,0.11042773,-0.09577934,1.04731479,1.44606206,1.16024957,-0.06046426,-0.04056125,0.06322982,0.14873275,0.43193068,0.09318337,21.00000000,286.00000000,0.88256228
63/126/252,0.10000000,0.70000000,20,2022-01-28,2026-09-17,0.11092086,0.11041245,-0.09577934,1.04568963,1.44358371,1.15808758,-0.06046426,-0.04080197,0.06307218,0.14855333,0.43193068,0.09318337,21.00000000,286.00000000,0.88256228
63/126/252,0.10000000,0.80000000,5,2022-01-28,2026-09-17,0.11345554,0.11252277,-0.09801885,1.04922691,1.45215976,1.15748697,-0.06056789,-0.04553676,0.06417183,0.15213085,0.36639233,0.07904433,18.00000000,287.00000000,0.88701068
63/126/252,0.10000000,0.80000000,10,2022-01-28,2026-09-17,0.11336752,0.11251675,-0.09808063,1.04854674,1.45112525,1.15586044,-0.06057918,-0.04560303,0.06410156,0.15203280,0.36639233,0.07904433,18.00000000,287.00000000,0.88701068
63/126/252,0.10000000,0.80000000,20,2022-01-28,2026-09-17,0.11319151,0.11250476,-0.09820420,1.04718565,1.44905599,1.15261377,-0.06060176,-0.04573558,0.06396105,0.15182456,0.36639233,0.07904433,18.00000000,287.00000000,0.88790036
63/126/252,0.12000000,0.60000000,5,2022-01-28,2026-09-17,0.11094610,0.10930387,-0.09470035,1.05538804,1.45921832,1.17154890,-0.05927718,-0.03881507,0.06347038,0.14838943,0.44561229,0.09613499,25.00000000,284.00000000,0.88167260
63/126/252,0.12000000,0.60000000,10,2022-01-28,2026-09-17,0.11083930,0.10929794,-0.09471805,1.05452498,1.45791734,1.17020253,-0.05927718,-0.03895552,0.06338687,0.14829238,0.44561229,0.09613499,25.00000000,284.00000000,0.88167260
63/126/252,0.12000000,0.60000000,20,2022-01-28,2026-09-17,0.11062572,0.10928614,-0.09475343,1.05279797,1.45531516,1.16751156,-0.05927718,-0.03923637,0.06321985,0.14809828,0.44561229,0.09613499,25.00000000,286.00000000,0.88256228
63/126/252,0.12000000,0.70000000,5,2022-01-28,2026-09-17,0.11104800,0.11047199,-0.09521966,1.04626216,1.44423271,1.16622977,-0.06019438,-0.04118124,0.06364520,0.14843012,0.42575803,0.09185170,22.00000000,287.00000000,0.88523132
63/126/252,0.12000000,0.70000000,10,2022-01-28,2026-09-17,0.11094595,0.11046450,-0.09521966,1.04546123,1.44301358,1.16515803,-0.06019438,-0.04129766,0.06356633,0.14834006,0.42575803,0.09185170,22.00000000,287.00000000,0.88523132
63/126/252,0.12000000,0.70000000,20,2022-01-28,2026-09-17,0.11074187,0.11044957,-0.09521966,1.04385847,1.44057525,1.16301477,-0.06019438,-0.04153049,0.06340861,0.14815996,0.42575803,0.09185170,22.00000000,287.00000000,0.88523132
63/126/252,0.12000000,0.80000000,5,2022-01-28,2026-09-17,0.11243483,0.11262241,-0.09768764,1.03993540,1.43708110,1.15096271,-0.06055350,-0.04585489,0.06320179,0.15080589,0.37442562,0.08077741,18.00000000,287.00000000,0.88523132
63/126/252,0.12000000,0.80000000,10,2022-01-28,2026-09-17,0.11234497,0.11261597,-0.09775126,1.03924276,1.43602643,1.14929436,-0.06056341,-0.04592062,0.06313229,0.15071610,0.37442562,0.08077741,18.00000000,287.00000000,0.88612100
63/126/252,0.12000000,0.80000000,20,2022-01-28,2026-09-17,0.11216527,0.11260314,-0.09787849,1.03785673,1.43391686,1.14596441,-0.06058323,-0.04605209,0.06299331,0.15056336,0.37442562,0.08077741,18.00000000,287.00000000,0.88612100
63/126/252,0.14000000,0.60000000,5,2022-01-28,2026-09-17,0.11188258,0.10912527,-0.09551767,1.06496601,1.47171654,1.17132856,-0.06071453,-0.03938786,0.06374477,0.14893498,0.47307458,0.10205962,24.00000000,286.00000000,0.88256228
63/126/252,0.14000000,0.60000000,10,2022-01-28,2026-09-17,0.11176910,0.10911797,-0.09553800,1.06405766,1.47033940,1.16989163,-0.06071453,-0.03952273,0.06365866,0.14883577,0.47307458,0.10205962,24.00000000,286.00000000,0.88256228
63/126/252,0.14000000,0.60000000,20,2022-01-28,2026-09-17,0.11154217,0.10910343,-0.09557864,1.06223990,1.46758489,1.16701989,-0.06071453,-0.03979241,0.06348645,0.14863739,0.47307458,0.10205962,24.00000000,287.00000000,0.88345196
63/126/252,0.14000000,0.70000000,5,2022-01-28,2026-09-17,0.11127222,0.11174697,-0.09743716,1.03747386,1.43292192,1.14198960,-0.06016750,-0.04312549,0.06361959,0.14876767,0.40762734,0.08794024,20.00000000,287.00000000,0.88612100
63/126/252,0.14000000,0.70000000,10,2022-01-28,2026-09-17,0.11117450,0.11174075,-0.09749974,1.03670724,1.43176812,1.14025433,-0.06016750,-0.04321161,0.06353505,0.14866874,0.40762734,0.08794024,20.00000000,287.00000000,0.88701068
63/126/252,0.14000000,0.70000000,20,2022-01-28,2026-09-17,0.11097907,0.11172836,-0.09762489,1.03517320,1.42946035,1.13679075,-0.06016750,-0.04338383,0.06336597,0.14847089,0.40762734,0.08794024,20.00000000,287.00000000,0.88701068
63/126/252,0.14000000,0.80000000,5,2022-01-28,2026-09-17,0.11242445,0.11327456,-0.09760802,1.03451933,1.42917613,1.15179525,-0.06147108,-0.04603630,0.06348501,0.15113819,0.38429643,0.08290691,19.00000000,287.00000000,0.88345196
63/126/252,0.14000000,0.80000000,10,2022-01-28,2026-09-17,0.11233223,0.11326788,-0.09765138,1.03381269,1.42810188,1.15033934,-0.06147108,-0.04611274,0.06342149,0.15105201,0.38429643,0.08290691,19.00000000,287.00000000,0.88345196
63/126/252,0.14000000,0.80000000,20,2022-01-28,2026-09-17,0.11214779,0.11325460,-0.09773810,1.03239862,1.42595323,1.14743158,-0.06147108,-0.04626563,0.06329446,0.15087967,0.38429643,0.08290691,19.00000000,287.00000000,0.88345196
70/140/280,0.10000000,0.60000000,5,2022-01-28,2026-09-17,0.11526289,0.10857058,-0.09492289,1.09891580,1.52121230,1.21427916,-0.06009453,-0.03631767,0.07041095,0.15296037,0.53427344,0.11526247,26.00000000,284.00000000,0.88256228
70/140/280,0.10000000,0.60000000,10,2022-01-28,2026-09-17,0.11513434,0.10856312,-0.09492289,1.09788009,1.51964747,1.21292495,-0.06009453,-0.03648612,0.07030848,0.15286080,0.53427344,0.11526247,26.00000000,284.00000000,0.88256228
70/140/280,0.10000000,0.60000000,20,2022-01-28,2026-09-17,0.11487728,0.10854828,-0.09492289,1.09580739,1.51651758,1.21021689,-0.06009453,-0.03682293,0.07010356,0.15266167,0.53427344,0.11526247,26.00000000,284.00000000,0.88256228
70/140/280,0.10000000,0.70000000,5,2022-01-28,2026-09-17,0.11586183,0.11102773,-0.09640856,1.08205754,1.50058787,1.20177940,-0.06043913,-0.03960273,0.06948350,0.15357004,0.43700187,0.09427741,25.00000000,284.00000000,0.88256228
70/140/280,0.10000000,0.70000000,10,2022-01-28,2026-09-17,0.11575663,0.11102114,-0.09643906,1.08123233,1.49933222,1.20030851,-0.06043913,-0.03973245,0.06939695,0.15348958,0.43700187,0.09427741,25.00000000,284.00000000,0.88256228
