TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-18,0.11542048,0.10887550,-0.09451698,1.09717933,1.51987175,1.22116133,-0.06016780,-0.03634862,0.06547792,0.15111297,0.49899278,0.10758759,25.00000000,284.00000000,0.88088889
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-18,0.11530048,0.10886895,-0.09453445,1.09621180,1.51839719,1.21966633,-0.06017926,-0.03648861,0.06538972,0.15101095,0.49899278,0.10758759,25.00000000,284.00000000,0.88088889
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-18,0.11506050,0.10885591,-0.09456937,1.09427562,1.51544783,1.21667830,-0.06020219,-0.03676855,0.06521334,0.15080692,0.49899278,0.10758759,25.00000000,284.00000000,0.88088889
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-18,0.11349323,0.11046927,-0.09459253,1.06666895,1.47621911,1.19981186,-0.06059998,-0.03950694,0.06381939,0.14901824,0.47417454,0.10223654,25.00000000,284.00000000,0.88444444
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-18,0.11337940,0.11046125,-0.09459253,1.06577647,1.47485782,1.19860840,-0.06059998,-0.03960644,0.06374120,0.14893237,0.47417454,0.10223654,25.00000000,284.00000000,0.88444444
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-18,0.11315175,0.11044529,-0.09462232,1.06399043,1.47213499,1.19582505,-0.06059998,-0.03980541,0.06358484,0.14876063,0.47417454,0.10223654,25.00000000,284.00000000,0.88444444
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-18,0.11364200,0.11225949,-0.09712677,1.05268359,1.45475121,1.17003784,-0.05916072,-0.04388728,0.06280636,0.14936136,0.40075215,0.08640597,19.00000000,287.00000000,0.88533333
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-18,0.11354577,0.11225342,-0.09717481,1.05193446,1.45361892,1.16846918,-0.05917169,-0.04395795,0.06273972,0.14928265,0.40075215,0.08640597,19.00000000,287.00000000,0.88622222
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-18,0.11335334,0.11224134,-0.09727089,1.05043540,1.45135415,1.16533673,-0.05919362,-0.04409929,0.06260643,0.14912523,0.40075215,0.08640597,19.00000000,287.00000000,0.88622222
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-18,0.11438667,0.10973400,-0.09552254,1.08067829,1.49415781,1.19748352,-0.06063080,-0.03718418,0.06450366,0.15032207,0.50879116,0.10970021,26.00000000,284.00000000,0.88088889
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-18,0.11426442,0.10972637,-0.09552254,1.07970681,1.49268214,1.19620376,-0.06063080,-0.03730994,0.06441499,0.15022177,0.50879116,0.10970021,26.00000000,284.00000000,0.88088889
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-18,0.11401996,0.10971117,-0.09552254,1.07776268,1.48973048,1.19364455,-0.06063080,-0.03756141,0.06423766,0.15002119,0.50879116,0.10970021,26.00000000,284.00000000,0.88177778
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-18,0.11421232,0.11088963,-0.09532923,1.06909855,1.47905265,1.19808291,-0.05894344,-0.04082025,0.06432076,0.15027544,0.44282005,0.09547621,22.00000000,284.00000000,0.88177778
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-18,0.11410594,0.11088284,-0.09537969,1.06826235,1.47778488,1.19633374,-0.05895291,-0.04089958,0.06424629,0.15018659,0.44282005,0.09547621,22.00000000,284.00000000,0.88177778
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-18,0.11389320,0.11086933,-0.09548061,1.06658897,1.47524907,1.19284122,-0.05897184,-0.04105824,0.06409736,0.15000891,0.44282005,0.09547621,22.00000000,284.00000000,0.88177778
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-18,0.11555477,0.11312311,-0.09790019,1.06127107,1.47122313,1.18033243,-0.06018381,-0.04472191,0.06400092,0.15192197,0.40176903,0.08662522,24.00000000,287.00000000,0.88622222
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-18,0.11545814,0.11311560,-0.09794445,1.06053814,1.47009718,1.17881243,-0.06019304,-0.04479098,0.06393400,0.15181915,0.40176903,0.08662522,24.00000000,287.00000000,0.88622222
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-18,0.11526489,0.11310063,-0.09803297,1.05907151,1.46784514,1.17577679,-0.06021151,-0.04492910,0.06380017,0.15161351,0.40176903,0.08662522,24.00000000,287.00000000,0.88622222
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-18,0.11521896,0.11030398,-0.09490998,1.08269351,1.49913075,1.21398148,-0.05992788,-0.03929223,0.06479934,0.15054800,0.44608625,0.09618044,25.00000000,284.00000000,0.88266667
60/120/240,0.14000000,0.60000000,10,2022-01-28,2026-09-18,0.11511170,0.11029715,-0.09491985,1.08184749,1.49784038,1.21272534,-0.05993813,-0.03939812,0.06471893,0.15045754,0.44608625,0.09618044,25.00000000,284.00000000,0.88266667
60/120/240,0.14000000,0.60000000,20,2022-01-28,2026-09-18,0.11489720,0.11028354,-0.09493957,1.08015452,1.49525950,1.21021409,-0.05995861,-0.03960989,0.06455814,0.15027664,0.44608625,0.09618044,25.00000000,284.00000000,0.88444444
60/120/240,0.14000000,0.70000000,5,2022-01-28,2026-09-18,0.11523267,0.11110038,-0.09537337,1.07584203,1.48994863,1.20822694,-0.05969426,-0.04122137,0.06418129,0.15111936,0.43685533,0.09419016,23.00000000,284.00000000,0.88177778
60/120/240,0.14000000,0.70000000,10,2022-01-28,2026-09-18,0.11512763,0.11109243,-0.09542345,1.07502996,1.48870192,1.20649200,-0.05970367,-0.04129913,0.06410694,0.15100869,0.43685533,0.09419016,23.00000000,284.00000000,0.88177778
60/120/240,0.14000000,0.70000000,20,2022-01-28,2026-09-18,0.11491756,0.11107658,-0.09552361,1.07340485,1.48620836,1.20302784,-0.05972250,-0.04145463,0.06395827,0.15078738,0.43685533,0.09419016,23.00000000,286.00000000,0.88266667
60/120/240,0.14000000,0.80000000,5,2022-01-28,2026-09-18,0.11570977,0.11343737,-0.09928603,1.05991754,1.47022099,1.16541844,-0.06021849,-0.04509751,0.06368479,0.15231566,0.43806862,0.09445176,27.00000000,287.00000000,0.88711111
60/120/240,0.14000000,0.80000000,10,2022-01-28,2026-09-18,0.11560439,0.11343028,-0.09933137,1.05911128,1.46899564,1.16382560,-0.06022876,-0.04516506,0.06361173,0.15221087,0.43806862,0.09445176,27.00000000,287.00000000,0.88711111
60/120/240,0.14000000,0.80000000,20,2022-01-28,2026-09-18,0.11539366,0.11341616,-0.09942205,1.05749797,1.46654484,1.16064455,-0.06024930,-0.04530015,0.06346562,0.15200130,0.43806862,0.09445176,27.00000000,287.00000000,0.88888889
63/126/252,0.10000000,0.60000000,5,2022-01-28,2026-09-18,0.11380176,0.10831169,-0.09454633,1.08839386,1.50376434,1.20366129,-0.05937234,-0.03719599,0.06460452,0.14828907,0.48350726,0.10424876,23.00000000,284.00000000,0.87911111
63/126/252,0.10000000,0.60000000,10,2022-01-28,2026-09-18,0.11368565,0.10830466,-0.09454633,1.08745711,1.50234569,1.20243321,-0.05937234,-0.03734552,0.06451495,0.14819671,0.48350726,0.10424876,23.00000000,284.00000000,0.87911111
63/126/252,0.10000000,0.60000000,20,2022-01-28,2026-09-18,0.11345345,0.10829067,-0.09454633,1.08558247,1.49950816,1.19997732,-0.05937234,-0.03764452,0.06433582,0.14801199,0.48350726,0.10424876,23.00000000,284.00000000,0.87911111
63/126/252,0.10000000,0.70000000,5,2022-01-28,2026-09-18,0.11365103,0.11048709,-0.09577934,1.06785170,1.47588439,1.18659229,-0.06046426,-0.04044087,0.06330866,0.14912980,0.43193068,0.09312836,21.00000000,286.00000000,0.88266667
63/126/252,0.10000000,0.70000000,10,2022-01-28,2026-09-18,0.11354731,0.11047944,-0.09577934,1.06704197,1.47464549,1.18550947,-0.06046426,-0.04056125,0.06322982,0.14904691,0.43193068,0.09312836,21.00000000,286.00000000,0.88266667
63/126/252,0.10000000,0.70000000,20,2022-01-28,2026-09-18,0.11333991,0.11046420,-0.09577934,1.06542152,1.47216754,1.18334405,-0.06046426,-0.04080197,0.06307218,0.14888030,0.43193068,0.09312836,21.00000000,286.00000000,0.88266667
63/126/252,0.10000000,0.80000000,5,2022-01-28,2026-09-18,0.11586465,0.11257033,-0.09801885,1.06848993,1.48010328,1.18206505,-0.06056789,-0.04553676,0.06417183,0.15213185,0.36639233,0.07899767,18.00000000,287.00000000,0.88711111
63/126/252,0.10000000,0.80000000,10,2022-01-28,2026-09-18,0.11577650,0.11256432,-0.09808063,1.06781158,1.47906892,1.18042163,-0.06057918,-0.04560303,0.06410156,0.15203988,0.36639233,0.07899767,18.00000000,287.00000000,0.88711111
63/126/252,0.10000000,0.80000000,20,2022-01-28,2026-09-18,0.11560021,0.11255236,-0.09820420,1.06645416,1.47699996,1.17714124,-0.06060176,-0.04573558,0.06396105,0.15183164,0.36639233,0.07899767,18.00000000,287.00000000,0.88800000
63/126/252,0.12000000,0.60000000,5,2022-01-28,2026-09-18,0.11335380,0.10935617,-0.09470035,1.07521267,1.48800131,1.19697338,-0.05927718,-0.03881507,0.06347038,0.14863147,0.44561229,0.09607824,25.00000000,284.00000000,0.88177778
