TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-21,0.11559871,0.10882850,-0.09451698,1.10005269,1.52387109,1.22304693,-0.06016780,-0.03634862,0.06547792,0.15118436,0.49899278,0.10739739,25.00000000,284.00000000,0.88099467
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-21,0.11547890,0.10882195,-0.09453445,1.09908580,1.52239705,1.22155363,-0.06017926,-0.03648861,0.06538972,0.15108557,0.49899278,0.10739739,25.00000000,284.00000000,0.88099467
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-21,0.11523930,0.10880892,-0.09456937,1.09715088,1.51944873,1.21856898,-0.06020219,-0.03676855,0.06521334,0.15088800,0.49899278,0.10739739,25.00000000,284.00000000,0.88099467
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-21,0.11369494,0.11042177,-0.09459253,1.06967843,1.48040501,1.20194419,-0.06059998,-0.03950694,0.06381939,0.14906718,0.47417454,0.10205580,25.00000000,284.00000000,0.88454707
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-21,0.11358128,0.11041375,-0.09459253,1.06878660,1.47904427,1.20074264,-0.06059998,-0.03960644,0.06374120,0.14898131,0.47417454,0.10205580,25.00000000,284.00000000,0.88454707
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-21,0.11335399,0.11039780,-0.09462232,1.06700185,1.47632252,1.19796243,-0.06059998,-0.03980541,0.06358484,0.14880957,0.47417454,0.10205580,25.00000000,284.00000000,0.88454707
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-21,0.11387399,0.11221150,-0.09712677,1.05589545,1.45921412,1.17242639,-0.05916072,-0.04388728,0.06280636,0.14943213,0.40075215,0.08625322,19.00000000,287.00000000,0.88543517
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-21,0.11377791,0.11220544,-0.09717481,1.05514686,1.45808227,1.17085809,-0.05917169,-0.04395795,0.06273972,0.14935341,0.40075215,0.08625322,19.00000000,287.00000000,0.88632327
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-21,0.11358578,0.11219336,-0.09727089,1.05364887,1.45581837,1.16772637,-0.05919362,-0.04409929,0.06260643,0.14919598,0.40075215,0.08625322,19.00000000,287.00000000,0.88632327
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-21,0.11458064,0.10968676,-0.09552254,1.08365151,1.49828908,1.19951414,-0.06063080,-0.03718418,0.06450366,0.15032776,0.50879116,0.10950628,26.00000000,284.00000000,0.88099467
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-21,0.11445859,0.10967913,-0.09552254,1.08268070,1.49681398,1.19823641,-0.06063080,-0.03730994,0.06441499,0.15022758,0.50879116,0.10950628,26.00000000,284.00000000,0.88099467
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-21,0.11421451,0.10966395,-0.09552254,1.08073791,1.49386344,1.19568129,-0.06063080,-0.03756141,0.06423766,0.15002723,0.50879116,0.10950628,26.00000000,284.00000000,0.88188277
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-21,0.11442749,0.11084209,-0.09532923,1.07221552,1.48338768,1.20034006,-0.05894344,-0.04082025,0.06432076,0.15033242,0.44282005,0.09530743,22.00000000,284.00000000,0.88188277
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-21,0.11432128,0.11083530,-0.09537969,1.07137991,1.48212041,1.19859145,-0.05895291,-0.04089958,0.06424629,0.15023531,0.44282005,0.09530743,22.00000000,284.00000000,0.88188277
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-21,0.11410888,0.11082179,-0.09548061,1.06970772,1.47958558,1.19510006,-0.05897184,-0.04105824,0.06409736,0.15004109,0.44282005,0.09530743,22.00000000,284.00000000,0.88188277
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-21,0.11580021,0.11307489,-0.09790019,1.06458509,1.47584371,1.18283943,-0.06018381,-0.04472191,0.06400092,0.15197951,0.40176903,0.08647208,24.00000000,287.00000000,0.88632327
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-21,0.11570373,0.11306738,-0.09794445,1.06385274,1.47471822,1.18131983,-0.06019304,-0.04479098,0.06393400,0.15188893,0.40176903,0.08647208,24.00000000,287.00000000,0.88632327
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-21,0.11551078,0.11305243,-0.09803297,1.06238726,1.47246709,1.17828497,-0.06021151,-0.04492910,0.06380017,0.15170780,0.40176903,0.08647208,24.00000000,287.00000000,0.88632327
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-21,0.11543158,0.11025669,-0.09490998,1.08581524,1.50347632,1.21622173,-0.05992788,-0.03929223,0.06479934,0.15061851,0.44608625,0.09601041,25.00000000,284.00000000,0.88277087
60/120/240,0.14000000,0.60000000,10,2022-01-28,2026-09-21,0.11532449,0.11024986,-0.09491985,1.08496982,1.50218643,1.21496714,-0.05993813,-0.03939812,0.06471893,0.15052680,0.44608625,0.09601041,25.00000000,284.00000000,0.88277087
60/120/240,0.14000000,0.60000000,20,2022-01-28,2026-09-21,0.11511033,0.11023626,-0.09493957,1.08327806,1.49960652,1.21245899,-0.05995861,-0.03960989,0.06455814,0.15034340,0.44608625,0.09601041,25.00000000,284.00000000,0.88454707
60/120/240,0.14000000,0.70000000,5,2022-01-28,2026-09-21,0.11546977,0.11105300,-0.09537337,1.07914453,1.49454872,1.21071297,-0.05969426,-0.04122137,0.06418129,0.15123051,0.43685533,0.09402365,23.00000000,284.00000000,0.88188277
60/120/240,0.14000000,0.70000000,10,2022-01-28,2026-09-21,0.11536489,0.11104505,-0.09542345,1.07833309,1.49330251,1.20897843,-0.05970367,-0.04129913,0.06410694,0.15111984,0.43685533,0.09402365,23.00000000,284.00000000,0.88188277
60/120/240,0.14000000,0.70000000,20,2022-01-28,2026-09-21,0.11515515,0.11102922,-0.09552361,1.07670925,1.49080995,1.20551509,-0.05972250,-0.04145463,0.06395827,0.15089850,0.43685533,0.09402365,23.00000000,286.00000000,0.88277087
60/120/240,0.14000000,0.80000000,5,2022-01-28,2026-09-21,0.11596346,0.11338910,-0.09928603,1.06329073,1.47492753,1.16797357,-0.06021849,-0.04509751,0.06368479,0.15235405,0.43806862,0.09428478,27.00000000,287.00000000,0.88721137
60/120/240,0.14000000,0.80000000,10,2022-01-28,2026-09-21,0.11585825,0.11338202,-0.09933137,1.06248507,1.47370267,1.16638119,-0.06022876,-0.04516506,0.06361173,0.15224266,0.43806862,0.09428478,27.00000000,287.00000000,0.88721137
60/120/240,0.14000000,0.80000000,20,2022-01-28,2026-09-21,0.11564784,0.11336791,-0.09942205,1.06087297,1.47125285,1.16320108,-0.06024930,-0.04530015,0.06346562,0.15201991,0.43806862,0.09428478,27.00000000,287.00000000,0.88898757
63/126/252,0.10000000,0.60000000,5,2022-01-28,2026-09-21,0.11398391,0.10826497,-0.09454633,1.09129981,1.50779870,1.20558784,-0.05937234,-0.03719599,0.06460452,0.14843844,0.48350726,0.10406447,23.00000000,284.00000000,0.87921847
63/126/252,0.10000000,0.60000000,10,2022-01-28,2026-09-21,0.11386798,0.10825795,-0.09454633,1.09036369,1.50638060,1.20436173,-0.05937234,-0.03734552,0.06451495,0.14834126,0.48350726,0.10406447,23.00000000,284.00000000,0.87921847
63/126/252,0.10000000,0.60000000,20,2022-01-28,2026-09-21,0.11363616,0.10824397,-0.09454633,1.08849032,1.50354416,1.20190978,-0.05937234,-0.03764452,0.06433582,0.14814694,0.48350726,0.10406447,23.00000000,284.00000000,0.87921847
63/126/252,0.10000000,0.70000000,5,2022-01-28,2026-09-21,0.11385554,0.11043961,-0.09577934,1.07088566,1.48009898,1.18872750,-0.06046426,-0.04044087,0.06330866,0.14914930,0.43193068,0.09296373,21.00000000,286.00000000,0.88277087
63/126/252,0.10000000,0.70000000,10,2022-01-28,2026-09-21,0.11375199,0.11043196,-0.09577934,1.07007653,1.47886057,1.18764640,-0.06046426,-0.04056125,0.06322982,0.14905977,0.43193068,0.09296373,21.00000000,286.00000000,0.88277087
63/126/252,0.10000000,0.70000000,20,2022-01-28,2026-09-21,0.11354491,0.11041673,-0.09577934,1.06845729,1.47638360,1.18548441,-0.06046426,-0.04080197,0.06307218,0.14888073,0.43193068,0.09296373,21.00000000,286.00000000,0.88277087
63/126/252,0.10000000,0.80000000,5,2022-01-28,2026-09-21,0.11608372,0.11252206,-0.09801885,1.07160726,1.48444436,1.18430006,-0.06056789,-0.04553676,0.06417183,0.15213793,0.36639233,0.07885801,18.00000000,287.00000000,0.88721137
63/126/252,0.10000000,0.80000000,10,2022-01-28,2026-09-21,0.11599571,0.11251606,-0.09808063,1.07092941,1.48341041,1.18265664,-0.06057918,-0.04560303,0.06410156,0.15204926,0.36639233,0.07885801,18.00000000,287.00000000,0.88721137
63/126/252,0.10000000,0.80000000,20,2022-01-28,2026-09-21,0.11581970,0.11250411,-0.09820420,1.06957298,1.48134226,1.17937626,-0.06060176,-0.04573558,0.06396105,0.15187195,0.36639233,0.07885801,18.00000000,287.00000000,0.88809947
63/126/252,0.12000000,0.60000000,5,2022-01-28,2026-09-21,0.11357188,0.10930936,-0.09470035,1.07838999,1.49242246,1.19927622,-0.05927718,-0.03881507,0.06347038,0.14868494,0.44561229,0.09590839,25.00000000,284.00000000,0.88188277
63/126/252,0.12000000,0.60000000,10,2022-01-28,2026-09-21,0.11346508,0.10930345,-0.09471805,1.07752965,1.49112196,1.19792467,-0.05927718,-0.03895552,0.06338687,0.14858342,0.44561229,0.09590839,25.00000000,284.00000000,0.88188277
63/126/252,0.12000000,0.60000000,20,2022-01-28,2026-09-21,0.11325151,0.10929169,-0.09475343,1.07580809,1.48852073,1.19522334,-0.05927718,-0.03923637,0.06321985,0.14838040,0.44561229,0.09590839,25.00000000,286.00000000,0.88277087
63/126/252,0.12000000,0.70000000,5,2022-01-28,2026-09-21,0.11373019,0.11047973,-0.09521966,1.06947717,1.47769440,1.19439820,-0.06019438,-0.04118124,0.06364520,0.14880166,0.42575803,0.09163520,22.00000000,287.00000000,0.88543517
63/126/252,0.12000000,0.70000000,10,2022-01-28,2026-09-21,0.11362813,0.11047226,-0.09521966,1.06867920,1.47647598,1.19332641,-0.06019438,-0.04129766,0.06356633,0.14870330,0.42575803,0.09163520,22.00000000,287.00000000,0.88543517
63/126/252,0.12000000,0.70000000,20,2022-01-28,2026-09-21,0.11342404,0.11045738,-0.09521966,1.06708235,1.47403906,1.19118303,-0.06019438,-0.04153049,0.06340861,0.14850659,0.42575803,0.09163520,22.00000000,287.00000000,0.88543517
63/126/252,0.12000000,0.80000000,5,2022-01-28,2026-09-21,0.11512584,0.11262477,-0.09768764,1.06280531,1.47002184,1.17850985,-0.06055350,-0.04585489,0.06320179,0.15102059,0.37442562,0.08058701,18.00000000,287.00000000,0.88543517
63/126/252,0.12000000,0.80000000,10,2022-01-28,2026-09-21,0.11503598,0.11261835,-0.09775126,1.06211515,1.46896773,1.17682352,-0.06056341,-0.04592062,0.06313229,0.15093078,0.37442562,0.08058701,18.00000000,287.00000000,0.88632327
63/126/252,0.12000000,0.80000000,20,2022-01-28,2026-09-21,0.11485626,0.11260557,-0.09787849,1.06073406,1.46685931,1.17345768,-0.06058323,-0.04605209,0.06299331,0.15075116,0.37442562,0.08058701,18.00000000,287.00000000,0.88632327
