TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-23,0.11634566,0.10875023,-0.09451698,1.10654062,1.53309885,1.23094980,-0.06016780,-0.03634862,0.06547792,0.15130088,0.49899278,0.10727097,25.00000000,284.00000000,0.88120567
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-23,0.11622591,0.10874369,-0.09453445,1.10557516,1.53162584,1.22945567,-0.06017926,-0.03648861,0.06538972,0.15120531,0.49899278,0.10727097,25.00000000,284.00000000,0.88120567
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-23,0.11598644,0.10873068,-0.09456937,1.10364310,1.52867957,1.22646940,-0.06020219,-0.03676855,0.06521334,0.15101419,0.49899278,0.10727097,25.00000000,284.00000000,0.88120567
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-23,0.11448411,0.11034389,-0.09459253,1.07642383,1.48999294,1.21028703,-0.06059998,-0.03950694,0.06381939,0.14930811,0.47417454,0.10193566,25.00000000,284.00000000,0.88475177
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-23,0.11437050,0.11033589,-0.09459253,1.07553347,1.48863328,1.20908604,-0.06059998,-0.03960644,0.06374120,0.14922221,0.47417454,0.10193566,25.00000000,284.00000000,0.88475177
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-23,0.11414332,0.11031995,-0.09462232,1.07375167,1.48591370,1.20630433,-0.06059998,-0.03980541,0.06358484,0.14904292,0.47417454,0.10193566,25.00000000,284.00000000,0.88475177
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-23,0.11468365,0.11213323,-0.09712677,1.06269413,1.46886765,1.18076248,-0.05916072,-0.04388728,0.06280636,0.14964036,0.40075215,0.08615169,19.00000000,287.00000000,0.88563830
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-23,0.11458761,0.11212718,-0.09717481,1.06194673,1.46773668,1.17919050,-0.05917169,-0.04395795,0.06273972,0.14954964,0.40075215,0.08615169,19.00000000,287.00000000,0.88652482
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-23,0.11439557,0.11211512,-0.09727089,1.06045111,1.46547454,1.17605145,-0.05919362,-0.04409929,0.06260643,0.14936822,0.40075215,0.08615169,19.00000000,287.00000000,0.88652482
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-23,0.11536274,0.10960928,-0.09552254,1.09037915,1.50784502,1.20770176,-0.06063080,-0.03718418,0.06450366,0.15035209,0.50879116,0.10937737,26.00000000,284.00000000,0.88120567
