TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-24,0.11411490,0.10879358,-0.09451698,1.08672003,1.50471271,1.20734806,-0.06016780,-0.03634862,0.06547792,0.15134601,0.49899278,0.10720787,25.00000000,284.00000000,0.88131089
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-24,0.11399546,0.10878704,-0.09453445,1.08575468,1.50324334,1.20586157,-0.06017926,-0.03648861,0.06538972,0.15125044,0.49899278,0.10720787,25.00000000,284.00000000,0.88131089
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-24,0.11375660,0.10877403,-0.09456937,1.08382285,1.50030435,1.20289056,-0.06020219,-0.03676855,0.06521334,0.15105931,0.49899278,0.10720787,25.00000000,284.00000000,0.88131089
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-24,0.11230063,0.11038176,-0.09459253,1.05732240,1.46271757,1.18720405,-0.06059998,-0.03950694,0.06381939,0.14950009,0.47417454,0.10187570,25.00000000,284.00000000,0.88485385
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-24,0.11218731,0.11037376,-0.09459253,1.05643180,1.46136072,1.18600612,-0.06059998,-0.03960644,0.06374120,0.14941418,0.47417454,0.10187570,25.00000000,284.00000000,0.88485385
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-24,0.11196071,0.11035783,-0.09462232,1.05464954,1.45864678,1.18323779,-0.06059998,-0.03980541,0.06358484,0.14922735,0.47417454,0.10187570,25.00000000,284.00000000,0.88485385
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-24,0.11248060,0.11217042,-0.09712677,1.04374812,1.44187366,1.15808034,-0.05916072,-0.04388728,0.06280636,0.14977783,0.40075215,0.08610101,19.00000000,287.00000000,0.88573959
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-24,0.11238482,0.11216436,-0.09717481,1.04300065,1.44074506,1.15652212,-0.05917169,-0.04395795,0.06273972,0.14967511,0.40075215,0.08610101,19.00000000,287.00000000,0.88662533
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-24,0.11219327,0.11215231,-0.09727089,1.04150491,1.43848766,1.15341051,-0.05919362,-0.04409929,0.06260643,0.14946970,0.40075215,0.08610101,19.00000000,287.00000000,0.88662533
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-24,0.11319225,0.10964693,-0.09552254,1.07126963,1.48058029,1.18497951,-0.06063080,-0.03718418,0.06450366,0.15037072,0.50879116,0.10931303,26.00000000,284.00000000,0.88131089
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-09-24,0.11307057,0.10963931,-0.09552254,1.07030027,1.47910950,1.18370563,-0.06063080,-0.03730994,0.06441499,0.15026336,0.50879116,0.10931303,26.00000000,284.00000000,0.88131089
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-09-24,0.11282723,0.10962415,-0.09552254,1.06836040,1.47616759,1.18115819,-0.06063080,-0.03756141,0.06423766,0.15004865,0.50879116,0.10931303,26.00000000,284.00000000,0.88219663
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-09-24,0.11303738,0.11080162,-0.09532923,1.05994858,1.46584063,1.18575785,-0.05894344,-0.04082025,0.06432076,0.15039301,0.44282005,0.09513924,22.00000000,284.00000000,0.88219663
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-09-24,0.11293149,0.11079485,-0.09537969,1.05911421,1.46457700,1.18402030,-0.05895291,-0.04089958,0.06424629,0.15030416,0.44282005,0.09513924,22.00000000,284.00000000,0.88219663
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-09-24,0.11271972,0.11078136,-0.09548061,1.05744451,1.46204948,1.18055100,-0.05897184,-0.04105824,0.06409736,0.15012646,0.44282005,0.09513924,22.00000000,284.00000000,0.88219663
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-09-24,0.11432398,0.11303719,-0.09790019,1.05182735,1.45753839,1.16776053,-0.06018381,-0.04472191,0.06400092,0.15224125,0.40176903,0.08631948,24.00000000,287.00000000,0.88662533
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-09-24,0.11422780,0.11302970,-0.09794445,1.05109592,1.45641614,1.16625078,-0.06019304,-0.04479098,0.06393400,0.15213840,0.40176903,0.08631948,24.00000000,287.00000000,0.88662533
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-09-24,0.11403544,0.11301476,-0.09803297,1.04963230,1.45417152,1.16323560,-0.06021151,-0.04492910,0.06380017,0.15193271,0.40176903,0.08631948,24.00000000,287.00000000,0.88662533
60/120/240,0.14000000,0.60000000,5,2022-01-28,2026-09-24,0.11395808,0.11022104,-0.09490998,1.07274339,1.48472352,1.20069645,-0.05992788,-0.03929223,0.06479934,0.15074169,0.44608625,0.09584098,25.00000000,284.00000000,0.88308237
