TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-09-24,0.11401784,0.10880154,-0.09451698,1.08581635,1.50337110,1.20632117,-0.06016780,-0.03634862,0.06547792,0.15134601,0.49899278,0.10720787,25.00000000,284.00000000,0.88131089
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-09-24,0.11389841,0.10879499,-0.09453445,1.08485101,1.50190197,1.20483498,-0.06017926,-0.03648861,0.06538972,0.15125044,0.49899278,0.10720787,25.00000000,284.00000000,0.88131089
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-09-24,0.11365958,0.10878198,-0.09456937,1.08291922,1.49896346,1.20186456,-0.06020219,-0.03676855,0.06521334,0.15105931,0.49899278,0.10720787,25.00000000,284.00000000,0.88131089
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-09-24,0.11219566,0.11039011,-0.09459253,1.05636227,1.46129888,1.18609434,-0.06059998,-0.03950694,0.06381939,0.14950009,0.47417454,0.10187570,25.00000000,284.00000000,0.88485385
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-09-24,0.11208235,0.11038211,-0.09459253,1.05547167,1.45994223,1.18489653,-0.06059998,-0.03960644,0.06374120,0.14941418,0.47417454,0.10187570,25.00000000,284.00000000,0.88485385
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-09-24,0.11185577,0.11036618,-0.09462232,1.05368940,1.45722871,1.18212877,-0.06059998,-0.03980541,0.06358484,0.14922735,0.47417454,0.10187570,25.00000000,284.00000000,0.88485385
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-09-24,0.11236885,0.11217925,-0.09712677,1.04274412,1.44039443,1.15692979,-0.05916072,-0.04388728,0.06280636,0.14977783,0.40075215,0.08610101,19.00000000,287.00000000,0.88573959
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-09-24,0.11227308,0.11217319,-0.09717481,1.04199666,1.43926600,1.15537224,-0.05917169,-0.04395795,0.06273972,0.14967511,0.40075215,0.08610101,19.00000000,287.00000000,0.88662533
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-09-24,0.11208154,0.11216114,-0.09727089,1.04050092,1.43700897,1.15226196,-0.05919362,-0.04409929,0.06260643,0.14946970,0.40075215,0.08610101,19.00000000,287.00000000,0.88662533
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-09-24,0.11308635,0.10965534,-0.09552254,1.07029411,1.47913963,1.18387087,-0.06063080,-0.03718418,0.06450366,0.15037072,0.50879116,0.10931303,26.00000000,284.00000000,0.88131089
